Ids/Id/0/_db,Ids/Id/0/_is_primary,Ids/Id/0/__text,Ids/Id/1/_db_label,Ids/Id/1/__text,Ids/Id/2/_db,Ids/Id/2/__text,Description/Title,Description/Organism/OrganismName,Description/Organism/_taxonomy_id,Description/Organism/_taxonomy_name,Owner/Name,Owner/Contacts/Contact/Name/First,Owner/Contacts/Contact/Name/Last,Owner/Contacts/Contact/Name/Middle,Owner/Contacts/Contact/_email,Models/Model,Package/_display_name,Package/__text,Attributes/Attribute/0/_attribute_name,Attributes/Attribute/0/_harmonized_name,Attributes/Attribute/0/_display_name,Attributes/Attribute/0/__text,Attributes/Attribute/1/_attribute_name,Attributes/Attribute/1/_harmonized_name,Attributes/Attribute/1/_display_name,Attributes/Attribute/1/__text,Attributes/Attribute/2/_attribute_name,Attributes/Attribute/2/_harmonized_name,Attributes/Attribute/2/_display_name,Attributes/Attribute/2/__text,Attributes/Attribute/3/_attribute_name,Attributes/Attribute/3/_harmonized_name,Attributes/Attribute/3/_display_name,Attributes/Attribute/3/__text,Attributes/Attribute/4/_attribute_name,Attributes/Attribute/4/_harmonized_name,Attributes/Attribute/4/_display_name,Attributes/Attribute/4/__text,Links/Link/_type,Links/Link/_target,Links/Link/_label,Links/Link/__text,Status/_status,Status/_when,_access,_publication_date,_last_update,_submission_date,_id,_accession,Description/Comment/Paragraph
BioSample,1,SAMN13520352,Sample name,Volgogradskaja-9,SRA,SRS5787834,Plant sample from Pinus sylvestris,Pinus sylvestris,3349,Pinus sylvestris,University of Oulu,Jaakko,Tyrmi,Sakari,jaakko.tyrmi@gmail.com,Plant,Plant; version 1.0,Plant.1.0,isolate,isolate,isolate,Volgogradskaja-9,age,age,age,missing,dev_stage,dev_stage,development stage,missing,geo_loc_name,geo_loc_name,geographic location,Russia:Volgogradskaya oblast,tissue,tissue,tissue,megagametophyte,entrez,bioproject,PRJNA592869,592869,live,2020-06-25T12:23:04.214,public,2020-06-25T00:00:00.000,2020-06-25T12:23:04.214,2019-12-10T07:18:06.073,13520352,SAMN13520352,
BioSample,1,SAMN13520351,Sample name,Volgogradskaja-8,SRA,SRS5787833,Plant sample from Pinus sylvestris,Pinus sylvestris,3349,Pinus sylvestris,University of Oulu,Jaakko,Tyrmi,Sakari,jaakko.tyrmi@gmail.com,Plant,Plant; version 1.0,Plant.1.0,isolate,isolate,isolate,Volgogradskaja-8,age,age,age,missing,dev_stage,dev_stage,development stage,missing,geo_loc_name,geo_loc_name,geographic location,Russia:Volgogradskaya oblast,tissue,tissue,tissue,megagametophyte,entrez,bioproject,PRJNA592869,592869,live,2020-06-25T12:23:04.187,public,2020-06-25T00:00:00.000,2020-06-25T12:23:04.187,2019-12-10T07:18:05.973,13520351,SAMN13520351,
BioSample,1,SAMN13520350,Sample name,Volgogradskaja-7,SRA,SRS5787832,Plant sample from Pinus sylvestris,Pinus sylvestris,3349,Pinus sylvestris,University of Oulu,Jaakko,Tyrmi,Sakari,jaakko.tyrmi@gmail.com,Plant,Plant; version 1.0,Plant.1.0,isolate,isolate,isolate,Volgogradskaja-7,age,age,age,missing,dev_stage,dev_stage,development stage,missing,geo_loc_name,geo_loc_name,geographic location,Russia:Volgogradskaya oblast,tissue,tissue,tissue,megagametophyte,entrez,bioproject,PRJNA592869,592869,live,2020-06-25T12:23:05.688,public,2020-06-25T00:00:00.000,2020-06-25T12:23:05.688,2019-12-10T07:18:05.870,13520350,SAMN13520350,
BioSample,1,SAMN13520349,Sample name,Volgogradskaja-6,SRA,SRS5787831,Plant sample from Pinus sylvestris,Pinus sylvestris,3349,Pinus sylvestris,University of Oulu,Jaakko,Tyrmi,Sakari,jaakko.tyrmi@gmail.com,Plant,Plant; version 1.0,Plant.1.0,isolate,isolate,isolate,Volgogradskaja-6,age,age,age,missing,dev_stage,dev_stage,development stage,missing,geo_loc_name,geo_loc_name,geographic location,Russia:Volgogradskaya oblast,tissue,tissue,tissue,megagametophyte,entrez,bioproject,PRJNA592869,592869,live,2020-06-25T12:23:05.661,public,2020-06-25T00:00:00.000,2020-06-25T12:23:05.661,2019-12-10T07:18:05.853,13520349,SAMN13520349,
BioSample,1,SAMN13520348,Sample name,Volgogradskaja-5,SRA,SRS5787830,Plant sample from Pinus sylvestris,Pinus sylvestris,3349,Pinus sylvestris,University of Oulu,Jaakko,Tyrmi,Sakari,jaakko.tyrmi@gmail.com,Plant,Plant; version 1.0,Plant.1.0,isolate,isolate,isolate,Volgogradskaja-5,age,age,age,missing,dev_stage,dev_stage,development stage,missing,geo_loc_name,geo_loc_name,geographic location,Russia:Volgogradskaya oblast,tissue,tissue,tissue,megagametophyte,entrez,bioproject,PRJNA592869,592869,live,2020-06-25T12:23:02.265,public,2020-06-25T00:00:00.000,2020-06-25T12:23:02.265,2019-12-10T07:18:05.836,13520348,SAMN13520348,
BioSample,1,SAMN13520347,Sample name,Volgogradskaja-4,SRA,SRS5787829,Plant sample from Pinus sylvestris,Pinus sylvestris,3349,Pinus sylvestris,University of Oulu,Jaakko,Tyrmi,Sakari,jaakko.tyrmi@gmail.com,Plant,Plant; version 1.0,Plant.1.0,isolate,isolate,isolate,Volgogradskaja-4,age,age,age,missing,dev_stage,dev_stage,development stage,missing,geo_loc_name,geo_loc_name,geographic location,Russia:Volgogradskaya oblast,tissue,tissue,tissue,megagametophyte,entrez,bioproject,PRJNA592869,592869,live,2020-06-25T12:23:04.161,public,2020-06-25T00:00:00.000,2020-06-25T12:23:04.161,2019-12-10T07:18:05.820,13520347,SAMN13520347,This sample may have been sampled from the same tree as Volgogradskaja-2
BioSample,1,SAMN13520346,Sample name,Volgogradskaja-3,SRA,SRS5787828,Plant sample from Pinus sylvestris,Pinus sylvestris,3349,Pinus sylvestris,University of Oulu,Jaakko,Tyrmi,Sakari,jaakko.tyrmi@gmail.com,Plant,Plant; version 1.0,Plant.1.0,isolate,isolate,isolate,Volgogradskaja-3,age,age,age,missing,dev_stage,dev_stage,development stage,missing,geo_loc_name,geo_loc_name,geographic location,Russia:Volgogradskaya oblast,tissue,tissue,tissue,megagametophyte,entrez,bioproject,PRJNA592869,592869,live,2020-06-25T12:23:02.804,public,2020-06-25T00:00:00.000,2020-06-25T12:23:02.804,2019-12-10T07:18:05.806,13520346,SAMN13520346,
BioSample,1,SAMN13520345,Sample name,Volgogradskaja-2,SRA,SRS5787827,Plant sample from Pinus sylvestris,Pinus sylvestris,3349,Pinus sylvestris,University of Oulu,Jaakko,Tyrmi,Sakari,jaakko.tyrmi@gmail.com,Plant,Plant; version 1.0,Plant.1.0,isolate,isolate,isolate,Volgogradskaja-2,age,age,age,missing,dev_stage,dev_stage,development stage,missing,geo_loc_name,geo_loc_name,geographic location,Russia:Volgogradskaya oblast,tissue,tissue,tissue,megagametophyte,entrez,bioproject,PRJNA592869,592869,live,2020-06-25T12:23:04.134,public,2020-06-25T00:00:00.000,2020-06-25T12:23:04.134,2019-12-10T07:18:05.790,13520345,SAMN13520345,This sample may have been sampled from the same tree as Volgogradskaja-4
BioSample,1,SAMN13520344,Sample name,Volgogradskaja-1,SRA,SRS5787826,Plant sample from Pinus sylvestris,Pinus sylvestris,3349,Pinus sylvestris,University of Oulu,Jaakko,Tyrmi,Sakari,jaakko.tyrmi@gmail.com,Plant,Plant; version 1.0,Plant.1.0,isolate,isolate,isolate,Volgogradskaja-1,age,age,age,missing,dev_stage,dev_stage,development stage,missing,geo_loc_name,geo_loc_name,geographic location,Russia:Volgogradskaya oblast,tissue,tissue,tissue,megagametophyte,entrez,bioproject,PRJNA592869,592869,live,2020-06-25T12:23:04.034,public,2020-06-25T00:00:00.000,2020-06-25T12:23:04.034,2019-12-10T07:18:05.776,13520344,SAMN13520344,
BioSample,1,SAMN13520343,Sample name,Volgogradskaja-10,SRA,SRS5787825,Plant sample from Pinus sylvestris,Pinus sylvestris,3349,Pinus sylvestris,University of Oulu,Jaakko,Tyrmi,Sakari,jaakko.tyrmi@gmail.com,Plant,Plant; version 1.0,Plant.1.0,isolate,isolate,isolate,Volgogradskaja-10,age,age,age,missing,dev_stage,dev_stage,development stage,missing,geo_loc_name,geo_loc_name,geographic location,Russia:Volgogradskaya oblast,tissue,tissue,tissue,megagametophyte,entrez,bioproject,PRJNA592869,592869,live,2020-06-25T12:23:02.210,public,2020-06-25T00:00:00.000,2020-06-25T12:23:02.210,2019-12-10T07:18:05.756,13520343,SAMN13520343,
